,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10386,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19451593.0,19451593.0,False,,1,,,,2023-08-08T19:42:00.000Z,29868.05682998636,16098199396.541166,21.6594,0.07473915,2.80930409,2.18683429,-1.31178488,13.01211104,7.72337721,580981285157.7649,49.0447,627229193429.71,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
1,1027,Ethereum,ETH,ethereum,7223,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120159238.27993467,120159238.27993467,True,,2,,,,2023-08-08T19:42:00.000Z,1859.4292351477814,5471943257.149781,-4.7087,-0.20750342,2.26937872,0.57321892,-0.39794268,1.42139791,0.42840672,223427600530.79895,18.8605,223427600530.8,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
2,825,Tether USDt,USDT,tether,59139,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83578639639.68036,86684257831.30505,True,,3,,,,2023-08-08T19:42:00.000Z,0.9998514534247498,24311360854.503323,3.7516,0.02161813,0.11499153,0.0251817,-0.04383169,-0.00152573,-0.08132259,83566224318.99782,7.0545,86671381181.68,,2023-08-08T19:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-08 19:44:26.575655
3,1839,BNB,BNB,bnb,1559,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153853663.18802527,153853663.18802527,False,,4,,,,2023-08-08T19:42:00.000Z,246.36805310369073,480017860.4735741,13.6718,-0.28350468,2.21924178,-0.05716088,4.97371841,-5.23823871,-21.74260818,37904627462.50475,3.1997,37904627462.5,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
4,52,XRP,XRP,xrp,1026,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52741286353.0,99988538151.0,False,,5,,,,2023-08-08T19:42:00.000Z,0.6361711177055895,1229461812.0281382,-12.7659,-0.48221698,3.52998846,-9.15034001,35.46135834,19.50550438,48.2899791,33552483088.418568,2.8323,63617111770.56,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
5,3408,USD Coin,USDC,usd-coin,13549,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26192212830.875378,26192212830.875378,False,,6,,,,2023-08-08T19:42:00.000Z,1.0002187624130578,3190278368.1265426,10.3872,0.00170559,0.02781955,0.00561408,0.02603517,0.01926378,0.01986698,26197942702.557583,2.2116,26197942702.56,,2023-08-08T19:42:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-08 19:44:26.575655
6,74,Dogecoin,DOGE,dogecoin,765,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140509066383.70523,140509066383.70523,True,,7,,,,2023-08-08T19:42:00.000Z,0.07480692750249812,296722772.3934105,-17.5435,-0.40014691,2.27811012,-3.29402867,14.11975707,9.15439608,1.56578424,10511051542.409533,0.8873,10511051542.41,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
7,2010,Cardano,ADA,cardano,889,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35027690391.062,36045784123.046,False,,8,,,,2023-08-08T19:42:00.000Z,0.3000078106051221,300473143.3452156,17.7151,-0.33358714,4.25543125,-2.11387167,5.31350797,-0.27964871,-19.13184243,10508580704.776583,0.8871,13500351477.23,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
8,5426,Solana,SOL,solana,496,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,405746918.44666815,554400904.5827167,True,,9,,,,2023-08-08T19:42:00.000Z,24.484061759405172,437969456.8867175,22.7335,0.88825137,7.27835895,3.74160868,15.20148825,38.3292719,16.48028795,9934332609.936556,0.8386,13573985987.27,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
9,1958,TRON,TRX,tron,808,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89528742115.72397,89528889601.30127,True,,10,71659659264.0,5500881775.271692,,2023-08-08T19:42:00.000Z,0.07676399569534649,169835464.07752997,-4.6356,-0.05127325,0.3775488,-2.01036384,-1.88315418,5.11082149,10.55364944,6872583974.381221,0.5801,6872595295.96,,2023-08-08T19:42:00.000Z,,,,,,2023-08-08 19:44:26.575655
